No,Character,Pronunciation,Word,Letter Sound,Word Sound
1,?,? (ka),????,ka.wav,ka_word.wav
2,?,? (kha),????,kha.wav,kha_word.wav
3,?,? (ga),?????,ga.wav,ga_word.wav
4,?,? (ga),,gha.wav,gha_word.wav
5,?,? (nga),???,nga.wav,nga_word.wav
6,?,? (sa),????,sa.wav,sa_word.wav
7,?,? (hsa),???,hsa.wav,hsa_word.wav
8,?,? (za),???????,za.wav,za_word.wav
9,?,? (zha),???????,zha.wav,zha_word.wav
10,?,? (nya),????,nya.wav,nya_word.wav
11,?,?  (ta),,ta1.wav,ta1_word.wav
12,?,?  (hta),,hta1.wav,hta1_word.wav
13,?,?  (da),,da1.wav,da1_word.wav
14,?,?  (da),,dha1.wav,dha1_word.wav 
15,?,? (na),,na1.wav,na1_word.wav
16,?,? (ta),??,ta2.wav,ta2_word.wav
17,?,? (hta),???,hta2.wa,hta2_word.wav
18,?,? (da),??????,da2.wav,da2_word.wav
19,?,? (dha),???,dha2.wav,dha2_word.wav
20,?,? (na),????,na2.wav,na2_word.wav
21,?,? (pa),???????,pa.wav,pa_word.wav
22,?,? (pha),??????,pha.wav,pha_word.wav
23,?,? (ba),???,ba.wav,ba_word.wav
24,?,? (bha),???,bha.wav,bha_word.wav
25,?,? (ma),?????,ma.wav,ma_word.wav
26,?,? (ya),????,ya.wav,ya_word.wav
27,?,? (ya),??????,ya.wav,ya_word.wav
28,?,? (la),???????,la.wav,la_word.wav
29,?,? (wa),??????,wa.wav,wa_word.wav
30,?,? (tha),?????????,tha.wav,tha_word.wav
31,?,? (ha),???????????????,ha.wav,ha_word.wav
32,?,?  (la),,lla.wav,lla_word.wav
33,?,? (a),????,a.wav,a_word.wav
,,,,,
,Number,Number Sound,,,
1,?,zero.wav,,,
2,?,one.wav,,,
3,?,two.wav,,,
4,?,three.wav,,,
5,?,four.wav,,,
6,?,five.wav,,,
7,?,six.wav,,,
8,?,seven.wav,,,
9,?,eight.wav,,,
10,?,nine.wav,,,
11,??,ten.wav,,,
